keyword,score
fall,0.5626536067644062
begin,0.562577579114975
birthday,0.5613832252946582
damn,0.5605979913810736
super,0.5550859313217181
watch,0.5538158755711574
luck,0.5530221635033239
th,0.5522557007575779
mihoyo,0.551748613682293
mad,0.5450480053393286
anime,0.5405564300123947
break,0.5346955196500758
currently,0.5339375409971512
description,0.5338637742922713
ar,0.533704778537879
tap,0.5325634223937502
ms,0.5298710596682208
thumb,0.524964453965412
favourite,0.5229545358134953
roll,0.5182929288837395
vas,0.5181126449571984
error,0.5178768038691275
instead,0.5158845279945246
heavy,0.5117054295974472
notch,0.5104829955982513
novel,0.5100252150496041
tao,0.5096107209081926
hu,0.5096107209081926
task,0.5087460478350719
rng,0.5072410604311133
casual,0.5070947040885545
normally,0.5069584324492661
login,0.5054181944138749
rule,0.5040352003553896
reduce,0.5039703920279209
chapter,0.5036100512581831
constant,0.5034104117254397
absurd,0.5030923053651507
restart,0.5018799311591241
party,0.5014101588939462
expectation,0.5007568819290888
damage,0.495033493418555
tired,0.4949232762491662
badly,0.4943411518623847
attack,0.4941680778412439
voiceless,0.49236683518638263
language,0.4905664253457523
translator,0.48861918108588454
uninstall,0.4875585271843861
disappoint,0.487116709743898
hopefully,0.48626074290739163
resolve,0.4827064288873988
development,0.4827017650687132
sooo,0.4811627892062707
deliver,0.4803269734389929
endless,0.47974299560641587
io,0.47889882928018124
replay,0.4787824518461714
mc,0.47869179213696844
mute,0.47706854159318723
bored,0.476829876115339
friendly,0.4765515008091116
interaction,0.4717882536109629
black,0.47071670590621273
immersive,0.4695481714573281
dollar,0.4671351522785923
unintereste,0.4669158688538366
alot,0.4663085303413278
country,0.46608103852816885
talent,0.4657774582987434
remind,0.46568950825129385
understandable,0.46556984590038186
tone,0.46549061009611953
jade,0.4654561928618681
chamber,0.4654561928618681
checkpoint,0.4654561928618681
effort,0.4630319107218101
satisfying,0.4623705710131655
unplayable,0.4621787438076994
ram,0.46147418878268265
ost,0.4599113472467975
lil,0.4586851573687529
community,0.45806453967219235
mid,0.45583198331957564
live,0.4556234398630472
past,0.4555219630310805
stay,0.4554751967062385
yrs,0.45519994686661147
sign,0.45500758757817017
competitive,0.4542527688230683
escape,0.45310966609493475
total,0.45282095958521623
remember,0.4522712576761728
mark,0.45184335207039195
sad,0.4517414478147572
inspire,0.45132856923012077
requirement,0.45037107496766327
focus,0.44996630880072386
original,0.44828906535233176
perfectly,0.447877803321506
afford,0.4465078097488696
freeze,0.4460510631880537
billion,0.44599939919711445
compatibility,0.4459765215731999
immediately,0.4459104539388041
distance,0.44424059275663164
proper,0.4432720909131988
unstable,0.44322393057673337
compat,0.44322393057673337
accommodate,0.44179114667731645
write,0.44027045551457333
gamer,0.4401707207546826
theme,0.43832764654934175
ui,0.43738139267245046
caracter,0.43720444396597924
repeat,0.4366671935130554
seriously,0.4366412325710981
grass,0.4360728246441319
craft,0.4359601050328296
similar,0.43535400776548394
playing,0.4342818709785776
guarantee,0.4337048871272646
dodge,0.43283494232650543
cap,0.43231986078616724
chore,0.43217602950809764
activity,0.43167991853927323
apart,0.4315028434424252
introduce,0.43145341694129336
masterpiece,0.43145045936010645
explain,0.4309932034562272
rail,0.4306954467815113
honkai,0.4306954467815113
composition,0.4304633192777611
disappear,0.4299924652279795
fandom,0.42946641419798426
optimize,0.4285495926202856
actor,0.4281197350156495
obsess,0.42775338025797405
anniversary,0.4247337812863893
pls,0.4242383280610247
hook,0.4233066067499368
difference,0.4232493286278746
exist,0.42315768792482766
limitation,0.42314046113381953
ios,0.42270039162716355
ability,0.422661799614387
nahida,0.422089047354683
home,0.420371931222416
touch,0.41940689613345505
min,0.4184318802499386
climbing,0.418392464891723
twin,0.41776967462567105
variety,0.41695564002162644
type,0.4163786047548048
couple,0.4142692777885364
grow,0.41414492579047535
early,0.4133639465187897
fold,0.4129748232306123
meet,0.41171871959351847
suggestion,0.4112710711037308
hacker,0.4111298958238498
signal,0.4102096220052066
creator,0.41014895694333553
kill,0.40759353884404464
shut,0.40717703820909984
breath,0.40682660808942367
happy,0.40639477289478954
europe,0.40634584118627154
replayable,0.405390343293284
external,0.4042613771785374
opinion,0.40346434554103916
severe,0.40338072170119554
appear,0.4021793260229708
glad,0.40089161617960656
camera,0.4005341868010014
age,0.4003333666658472
theory,0.39917654702085836
shade,0.3989680770872687
realmi,0.39841359831882334
elixir,0.39776708813836986
despite,0.39766713194946657
aside,0.39751075142630743
openworld,0.3955466714100699
menu,0.39440139792822604
sort,0.3941745233894275
value,0.3934250986438585
dull,0.39234052870110747
poor,0.3915503741287495
actual,0.38798068812033815
today,0.3857049966392019
kind,0.38528711955243333
stick,0.38511146410385966
adjust,0.38302380073315734
properly,0.38191900876849855
constellation,0.3809079913843997
ear,0.37964008775237357
deaf,0.37964008775237357
hk,0.37789849738691655
grateful,0.3777751172979536
dialouge,0.3777323766502493
oh,0.3755700395720978
omg,0.3738658387948398
network,0.3725750176051327
